tox_cas_edf_id,tox_chemical_name,tox_recognized,tox_suspected
470-90-6,CHLORFENVINFOS,,"cardiovascular blood,gastrointestinal liver,immunotoxicity,neurotoxicity"
4719-04-4,"1,3,5-TRIAZINE-1,3,5(2H,4H,6H)-TRIETHANOL (9CI)",,"immunotoxicity,skin sense"
474-25-9,CHENODIOL,developmental,"gastrointestinal liver,neurotoxicity,respiratory"
4759-48-2,ISOTRETINOIN,developmental,"gastrointestinal liver,immunotoxicity,musculoskeletal,skin sense"
4782-29-0,"Stannane, [1,2-phenylenebis(carbonyloxy)",,endocrine
479-45-8,TETRYL,,"immunotoxicity,neurotoxicity,respiratory,skin sense"
480-54-6,RETRORSINE,,gastrointestinal liver
4812-22-0,3-NITRO-3-HEXENE,,cancer
4824-78-6,BROMOPHOS-ETHYL,,"neurotoxicity,respiratory,skin sense"
484-20-8,5-METHOXYPSORALEN,cancer,neurotoxicity
485-31-4,BINAPACRYL,,"neurotoxicity,respiratory"
485-47-2,Ninhydrin,,"immunotoxicity,respiratory,skin sense"
486-56-6,COTININE,cancer,
491-35-0,4-methylquinoline,,cancer
492-80-8,AURAMINE,cancer,cardiovascular blood
494-03-1,"N,N-BIS(2-CHLOROETHYL)-2-NAPHTHYLAMINE (CHLORNAPAZINE)",cancer,kidney
496-72-0,"3,4-DIAMINOTOLUENE",cancer,
497-19-8,SODIUM CARBONATE,,"gastrointestinal liver,respiratory"
49842-07-1,TOBRAMYCIN SULFATE,developmental,
4986-89-4,PENTAERYTHRITOL TETRAACRYLATE,,"immunotoxicity,skin sense"
50-00-0,FORMALDEHYDE,cancer,"gastrointestinal liver,immunotoxicity,neurotoxicity,reproductive,respiratory,skin sense"
50-06-6,PHENOBARBITAL,cancer,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
50-07-7,MITOMYCIN C,cancer,"gastrointestinal liver,kidney,neurotoxicity"
50-12-4,MEPHENYTOIN,,"cardiovascular blood,musculoskeletal,neurotoxicity,skin sense"
50-14-6,ERGOCALCIFEROL,,"developmental,gastrointestinal liver,neurotoxicity,reproductive"
50-18-0,CYCLOPHOSPHAMIDE,"cancer,developmental,reproductive","cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,skin sense"
50-28-2,ESTRADIOL-17B,cancer,gastrointestinal liver
50-29-3,DDT,"cancer,developmental,reproductive","cardiovascular blood,endocrine,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,respiratory,skin sense"
50-32-8,BENZO(A)PYRENE,cancer,"developmental,endocrine,gastrointestinal liver,immunotoxicity,respiratory,skin sense"
50-33-9,PHENYLBUTAZONE,,"cancer,cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory"
50-34-0,PROPANTHELINE BROMIDE,,reproductive
50-35-1,THALIDOMIDE,developmental,
50-36-2,COCAINE,"developmental,reproductive","cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory"
50-41-9,CLOMIPHENE CITRATE,developmental,
50-47-5,DESIPRAMINE,,"cardiovascular blood,neurotoxicity,respiratory"
50-52-2,THIORIDAZINE,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
50-53-3,CHLORPROMAZINE,,"cardiovascular blood,gastrointestinal liver,immunotoxicity,neurotoxicity,respiratory,skin sense"
50-55-5,RESERPINE,cancer,"cardiovascular blood,neurotoxicity,skin sense"
50-59-9,CEPHALORIDINE,,"cardiovascular blood,kidney"
50-70-4,SORBITOL,,gastrointestinal liver
50-76-0,ACTINOMYCIN D,"cancer,developmental","cardiovascular blood,gastrointestinal liver"
50-78-2,ACETYLSALICYLIC ACID,"developmental,reproductive","cardiovascular blood,gastrointestinal liver,kidney,musculoskeletal,neurotoxicity,respiratory,skin sense"
50-99-7,2-D-GLUCOSE,,skin sense
500-28-7,CHLORTHION (CHLOROTHION),,"neurotoxicity,skin sense"
502-39-6,METHYLMERCURIC DICYANAMIDE,developmental,
504-24-5,"PYRIDINE, 4-AMINO-",,"gastrointestinal liver,neurotoxicity,respiratory"
504-29-0,2-AMINOPYRIDINE,,neurotoxicity
504-63-2,"1,3-Propanediol",,neurotoxicity
50471-44-8,VINCLOZOLIN,"cancer,developmental","endocrine,gastrointestinal liver,kidney"
505-60-2,MUSTARD GAS,cancer,"developmental,gastrointestinal liver,neurotoxicity,reproductive,skin sense"
506-77-4,CYANOGEN CHLORIDE,,"neurotoxicity,respiratory,skin sense"
506-93-4,GUANIDINE MONONITRATE,,neurotoxicity
5064-31-3,"ACETIC ACID, NITRILOTRI-, TRISODIUM SALT",,gastrointestinal liver
50782-69-9,"PHOSPHONOTHIOIC ACID, METHYL-, S-(2-(BIS(1-METHYLETHYL)AMINO)ETHYL)O-ETHYL ESTER",,"gastrointestinal liver,neurotoxicity,respiratory"
50864-67-0,Barium sulfide,,"neurotoxicity,respiratory"
509-14-8,TETRANITROMETHANE,cancer,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
51-03-6,PIPERONYL BUTOXIDE,,"cancer,gastrointestinal liver,neurotoxicity,reproductive"
51-06-9,PROCAINAMIDE,,"cardiovascular blood,musculoskeletal,neurotoxicity,respiratory"
51-18-3,TRIETHYLENEMELAMINE,,reproductive
51-21-8,FLUOROURACIL,developmental,"cardiovascular blood,gastrointestinal liver,neurotoxicity"
51-28-5,"2,4-DINITROPHENOL",,"cardiovascular blood,developmental,gastrointestinal liver,neurotoxicity,reproductive,skin sense"
51-43-4,EPINEPHRINE,,"gastrointestinal liver,neurotoxicity"
51-52-5,PROPYLTHIOURACIL,"cancer,developmental","cardiovascular blood,endocrine,gastrointestinal liver,kidney"
51-71-8,PHENELZINE,,"cancer,neurotoxicity"
51-75-2,MECHLORETHAMINE,"cancer,developmental","cardiovascular blood,reproductive,skin sense"
51-79-6,URETHANE,"cancer,developmental","gastrointestinal liver,kidney,respiratory,skin sense"
51-98-9,NORETHISTERONE ACETATE (NORETHINDRONE ACETATE),developmental,
510-15-6,CHLOROBENZILATE,cancer,"cardiovascular blood,gastrointestinal liver,kidney,reproductive"
5103-71-9,CIS-CHLORDANE,,endocrine
5103-73-1,"NONACHLOR, CIS-",,endocrine
5103-74-2,TRANS-CHLORDANE,,endocrine
5104-49-4,flurbiprofen,"developmental,reproductive","cardiovascular blood,gastrointestinal liver,neurotoxicity,skin sense"
512-56-1,TRIMETHYL PHOSPHATE,cancer,"neurotoxicity,reproductive"
51207-31-9,"2,3,7,8-TETRACHLORODIBENZOFURAN",cancer,"endocrine,skin sense"
51218-45-2,METOLACHLOR,,"cancer,cardiovascular blood"
51218-49-6,Pretilachlor,,kidney
51235-04-2,HEXAZINONE,,gastrointestinal liver
5124-30-1,"1,1'-METHYLENEBIS(4-ISOCYANATOCYCLOHEXANE)",,"immunotoxicity,respiratory,skin sense"
51264-14-3,Amsacrine,,cancer
513-37-1,DIMETHYLVINYLCHLORIDE,cancer,"gastrointestinal liver,neurotoxicity,respiratory,skin sense"
513-77-9,BARIUM CARBONATE,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory"
513-78-0,CADMIUM CARBONATE,cancer,
5131-24-8,DITALIMFOS,,"immunotoxicity,skin sense"
5131-60-2,4-CHLORO-M-PHENYLENEDIAMINE,,"cancer,gastrointestinal liver"
5131-66-8,"1,2-PROPYLENE GLYCOL 1-MONOBUTYL ETHER",,neurotoxicity
51338-27-3,DICLOFOP METHYL,developmental,"cancer,gastrointestinal liver,kidney"
514-10-3,ABIETIC ACID,,skin sense
5160-02-1,D & C RED NO. 9,cancer,
51630-58-1,FENVALERATE,,"cardiovascular blood,endocrine,gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
51707-55-2,THIDIAZURON,,neurotoxicity
51786-53-9,"2,5-XYLIDINE.HCL",,cancer
518-75-2,CITRININ,,"gastrointestinal liver,kidney"
51908-16-8,"2,2',3,4',5,5'-Hexachlorobiphenyl","cancer,developmental",
52-01-7,SPIRONOLACTONE,cancer,"cardiovascular blood,kidney,respiratory"
52-24-4,TRIS(1-AZIRIDINYL) PHOSPHINE SULFIDE (THIOTEPA),cancer,
52-28-8,CODEINE PHOSPHATE,developmental,"cardiovascular blood,neurotoxicity,skin sense"
52-51-7,"2-BROMO-2-NITROPROPANE-1,3-DIOL",,"gastrointestinal liver,immunotoxicity,skin sense"
52-53-9,Verapamil,,"cancer,cardiovascular blood,gastrointestinal liver,neurotoxicity,skin sense"
52-67-5,PENICILLAMINE,developmental,"cardiovascular blood,gastrointestinal liver,kidney,musculoskeletal,neurotoxicity,respiratory,skin sense"
52-68-6,TRICHLORFON,,"cancer,cardiovascular blood,developmental,gastrointestinal liver,immunotoxicity,neurotoxicity,reproductive,skin sense"
52-76-6,LYNESTRENOL,cancer,
52-85-7,FAMPHUR,,neurotoxicity
52-86-8,Haloperidol,"developmental,reproductive","cardiovascular blood,neurotoxicity"
5208-87-7,1'-HYDROXYSAFROLE,,"cancer,gastrointestinal liver"
5216-25-1,"P-A,A,A-TETRACHLOROTOLUENE",cancer,"neurotoxicity,respiratory"
52214-84-3,Ciprofibrate,,"cancer,gastrointestinal liver"
52315-07-8,CYPERMETHRIN,,"cancer,endocrine,gastrointestinal liver,immunotoxicity,neurotoxicity,reproductive"
5234-68-4,CARBOXIN,,"kidney,neurotoxicity"
52645-53-1,PERMETHRIN,,"cancer,endocrine,gastrointestinal liver,neurotoxicity,reproductive"
52663-58-8,"2,3,4',6-Tetrachlorobiphenyl","cancer,developmental",
52663-59-9,"2,2',3,4-Tetrachlorobiphenyl","cancer,developmental",
52663-60-2,"2,2',3,3',6-Pentachlorobiphenyl","cancer,developmental",
52663-61-3,"2,2',3,5,5'-Pentachlorobiphenyl","cancer,developmental",
52663-62-4,"2,2',3,3',4-Pentachlorobiphenyl","cancer,developmental",
52663-63-5,"2,2',3,5,5',6-Hexachlorobiphenyl","cancer,developmental",
52663-64-6,"2,2',3,3',5,6,6'-Heptachlorobiphenyl","cancer,developmental",
52663-65-7,"2,2',3,3',4,6,6'-Heptachlorobiphenyl","cancer,developmental",
52663-66-8,"2,2',3,3',4,5'-Hexachlorobiphenyl","cancer,developmental",
52663-67-9,"2,2',3,3',5,5',6-Heptachlorobiphenyl","cancer,developmental",
52663-68-0,"2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL (PCB-187)","cancer,developmental",
52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl","cancer,developmental",
52663-70-4,"2,2',3,3',4,5',6'-Heptachlorobiphenyl","cancer,developmental",
52663-71-5,"2,2',3,3',4,4',6-HEPTACHLOROBIPHENYL (PCB-171)","cancer,developmental",
52663-72-6,"2,3',4,4',5,5'-Hexachlorobiphenyl","cancer,developmental",
52663-73-7,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl","cancer,developmental",
52663-74-8,"2,2',3,3',4,5,5'-Heptachlorobiphenyl","cancer,developmental",
52663-75-9,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl","cancer,developmental",
52663-76-0,"2,2',3,4,4',5,5',6-Octachlorobiphenyl","cancer,developmental",
52663-77-1,"2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHENYL (PCB-208)","cancer,developmental",
52663-78-2,"2,2',3,3',4,4',5,6-OCTACHLOROBIPHENYL","cancer,developmental",
52663-79-3,"2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHENYL (PCB-207)","cancer,developmental",
527-84-4,O-CYMENE,,"cardiovascular blood,respiratory"
52704-70-8,"2,2',3,3',5,6-HEXACHLOROBIPHENYL (PCB-134)","cancer,developmental",
52712-04-6,"2,2',3,4,5,5'-Hexachlorobiphenyl","cancer,developmental",
52712-05-7,"2,2',3,4,5,5',6-HEPTACHLOROBIPHENYL (PCB-185)","cancer,developmental",
52740-16-6,CALCIUM ARSENITE,"cancer,developmental",
52744-13-5,"2,2',3,3',5,6'-Hexachlorobiphenyl","cancer,developmental",
528-29-0,O-DINITROBENZENE,reproductive,"cardiovascular blood,gastrointestinal liver,neurotoxicity"
52918-63-5,DELTAMETHRIN (DECA-),,"gastrointestinal liver,kidney,neurotoxicity"
53-16-7,ESTRONE,cancer,
53-19-0,"O,P-DDD",cancer,"cardiovascular blood,gastrointestinal liver,neurotoxicity,skin sense"
53-70-3,"DIBENZ(A,H)ANTHRACENE",cancer,skin sense
53-86-1,INDOMETHACIN,,"cardiovascular blood,gastrointestinal liver,kidney,respiratory"
53-95-2,N-HYDROXY-2-ACETYLAMINOFLUORENE,,"cancer,gastrointestinal liver,kidney,skin sense"
53-96-3,2-ACETYLAMINOFLUORENE,cancer,"gastrointestinal liver,kidney,skin sense"
531-76-0,MERPHALAN,cancer,
531-82-8,N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]ACETAMIDE,cancer,"gastrointestinal liver,kidney,respiratory,skin sense"
531-85-1,"[1,1'-Biphenyl]-4,4'-diamine, dihydrochloride",,gastrointestinal liver
53112-28-0,PYRIMETHANIL,,"cancer,endocrine"
532-27-4,2-CHLOROACETOPHENONE,,"cardiovascular blood,immunotoxicity,neurotoxicity,respiratory,skin sense"
532-32-1,SODIUM BENZOATE,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,skin sense"
532-82-1,CHRYSOIDINE,,"cancer,gastrointestinal liver"
5329-14-6,SULFAMIC ACID,,neurotoxicity
533-31-3,SESAMOL,,"cancer,gastrointestinal liver"
533-74-4,DAZOMET,,"gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,respiratory,skin sense"
5332-52-5,1-Undecanethiol,,respiratory
534-07-6,BIS(CHLOROMETHYL) KETONE,,"neurotoxicity,skin sense"
534-52-1,"4,6-DINITRO-O-CRESOL",,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
53404-19-6,"BROMACIL LITHIUM SALT (2,4(H,3H)-PYRIMIDINEDIONE, ETHYL-3 (1-METHYLPROPYL), LITHIUM SALT)","developmental,reproductive",endocrine
53404-37-8,"2,4-D 2-ETHYL-4-METHYLPENTYL ESTER",,"developmental,gastrointestinal liver,kidney,neurotoxicity"
53404-60-7,"DAZOMET, SODIUM SALT",,kidney
53469-21-9,AROCLOR 1242,"cancer,developmental","cardiovascular blood,endocrine,gastrointestinal liver,reproductive,respiratory,skin sense"
535-77-3,1-ISOPROPYL-3-METHYLBENZENE,,neurotoxicity
53555-66-1,"3,4,5-Trichlorobiphenyl","cancer,developmental",
53558-25-1,PYRIMINIL,,"cardiovascular blood,endocrine,kidney,neurotoxicity"
536-33-4,ETHIONAMIDE,developmental,gastrointestinal liver
537-73-5,"2-Propenoic acid, 3-(3-hydroxy-4-methoxyphenyl)-",,neurotoxicity
53742-07-7,NONA-PCB,"cancer,developmental",
5385-75-1,"DIBENZO[A,E]FLUORANTHENE",,cancer
53910-25-1,PENTOSTATIN,developmental,
5392-40-5,"2,6-OCTADIENAL, 3,7-DIMETHYL-",,gastrointestinal liver
53973-98-1,POLYGEENAN,cancer,
54-05-7,CHLOROQUINE,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
54-11-5,NICOTINE AND SALTS,developmental,"neurotoxicity,respiratory"
54-21-7,2-HYDROXYBENZOIC ACID MONOSODIUM SALT,,"kidney,neurotoxicity,respiratory"
54-31-9,FUROSEMIDE,,"gastrointestinal liver,kidney,neurotoxicity"
54-62-6,AMINOPTERIN,"developmental,reproductive","gastrointestinal liver,neurotoxicity,skin sense"
54-64-8,THIMEROSAL,developmental,"immunotoxicity,kidney,skin sense"
54-85-3,ISONICOTINIC ACID HYDRAZIDE,,"cancer,cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
54-91-1,PIPOBROMAN,developmental,
540-54-5,1-CHLOROPROPANE,,cardiovascular blood
540-59-0,"1,2-DICHLOROETHYLENE",,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory"
540-73-8,"1,2-DIMETHYLHYDRAZINE",cancer,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
540-84-1,"2,2,4-TRIMETHYLPENTANE",,"kidney,skin sense"
540-88-5,TERT-BUTYL ACETATE,,neurotoxicity
5409-83-6,"2,8-DICHLORODIBENZOFURAN",cancer,
541-25-3,LEWISITE (ARSENIC COMPOUND),,developmental
541-41-3,ETHYL CHLOROFORMATE,,"gastrointestinal liver,kidney,respiratory,skin sense"
541-53-7,DITHIOBIURET,,neurotoxicity
541-73-1,"1,3-DICHLOROBENZENE",,"cardiovascular blood,gastrointestinal liver,kidney,respiratory"
541-85-5,ETHYL SEC-AMYL KETONE,,neurotoxicity
5411-22-3,BENZPHETAMINE HYDROCHLORIDE,developmental,
542-56-3,ISOBUTYL NITRITE,cancer,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory"
542-75-6,"1,3-DICHLOROPROPENE (MIXED ISOMERS)",cancer,"gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,respiratory,skin sense"
542-76-7,3-CHLOROPROPIONITRILE,,neurotoxicity
542-88-1,BIS(CHLOROMETHYL) ETHER,cancer,"cardiovascular blood,respiratory,skin sense"
542-90-5,ETHYL THIOCYANATE,,"gastrointestinal liver,neurotoxicity,respiratory"
542-92-7,CYCLOPENTADIENE,,neurotoxicity
5421-46-5,"ACETIC ACID, MERCAPTO-, MONOAMMONIUM SALT",,"immunotoxicity,skin sense"
54230-22-7,"2,3,4,6-Tetrachlorobiphenyl","cancer,developmental",
543-90-8,CADMIUM ACETATE,cancer,
54350-48-0,ETRETINATE,developmental,"gastrointestinal liver,skin sense"
544-16-1,butyl nitrite,,"cardiovascular blood,kidney,neurotoxicity,respiratory"
544-25-2,"1,3,5-CYCLOHEPTATRIENE",,"cardiovascular blood,neurotoxicity"
545-06-2,TRICHLOROACETONITRILE,,"neurotoxicity,respiratory,skin sense"
545-55-1,TRIS-AZIRIDINYL-PHOSPHINOXIDE,,"gastrointestinal liver,neurotoxicity,respiratory"
546-88-3,ACETOHYDROXAMIC ACID,developmental,
547-65-9,Tuliposide A,,"immunotoxicity,skin sense"
54749-90-5,CHLOROZOTOCIN,cancer,gastrointestinal liver
548-62-9,BASIC VIOLET 3,,"gastrointestinal liver,neurotoxicity"
54910-89-3,FLUOXETINE,,"developmental,neurotoxicity,reproductive"
54965-24-1,TAMOXIFEN CITRATE,developmental,"gastrointestinal liver,neurotoxicity,skin sense"
55-18-5,N-NITROSODIETHYLAMINE,cancer,"cardiovascular blood,developmental,gastrointestinal liver,reproductive,respiratory"
55-38-9,FENTHION,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
55-55-0,4(METHYLAMINO)PHENOLSULFAT,,"immunotoxicity,kidney,skin sense"
55-56-1,CHLORHEXIDINE,,"immunotoxicity,respiratory,skin sense"
55-63-0,NITROGLYCERIN,,"cancer,cardiovascular blood,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,respiratory,skin sense"
55-80-1,3'-methyl-4-dimethylaminoazobenzene,,"cancer,endocrine,gastrointestinal liver"
55-86-7,NITROGEN MUSTARD HYDROCHLORIDE,"cancer,developmental",
55-91-4,DIISOPROPYLFLUOROPHOSPHATE,,"neurotoxicity,skin sense"
55-98-1,"1,4-BUTANEDIOL DIMETHANESULFONATE (MYLERAN)","cancer,developmental","cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,skin sense"
551-06-4,ANIT,,gastrointestinal liver
552-30-7,TRIMELLITIC ANHYDRIDE,,"cardiovascular blood,immunotoxicity,respiratory"
55215-17-3,"2,2',3,4,6-PENTACHLOROBIPHENYL (PCB-88)","cancer,developmental",
55215-18-4,"2,2',3,3',4,5-HEXACHLOROBIPHENYL (PCB-129)","cancer,developmental",
55219-65-3,TRIADIMENOL (BAYTAN),,"cancer,endocrine,neurotoxicity"
5522-43-0,1-NITROPYRENE,cancer,
55283-68-6,ETHALFLURALIN,,cancer
55290-64-7,DIMETHIPIN,,"cancer,cardiovascular blood,gastrointestinal liver"
55312-69-1,"2,2',3,4,5-Pentachlorobiphenyl","cancer,developmental",
5534-09-8,BECLOMETHASONE DIPROPIONATE,developmental,cardiovascular blood
554-00-7,"DICHLOROANILINE, 2,4-",,"neurotoxicity,respiratory"
554-13-2,LITHIUM CARBONATE,developmental,"cardiovascular blood,endocrine,gastrointestinal liver,neurotoxicity,skin sense"
55406-53-6,3-IODO-2-PROPYNYL BUTYLCARBAMATE,,"gastrointestinal liver,neurotoxicity"
555-84-0,1-[(5-NITROFURFURYLIDENE)-AMINO]-2-IMIDAZOLIDINONE,cancer,
556-52-5,"2,3-EPOXY 1-PROPANOL",cancer,"gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,respiratory,skin sense"
556-61-6,METHYL ISOTHIOCYANATE,,"gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
556-64-9,METHYL THIOCYANATE,,neurotoxicity
556-67-2,CYCLIC DIMETHYLSILOXANE TETRAMER,,gastrointestinal liver
556-88-7,1-NITROGUANIDINE,,respiratory
55673-89-7,"1,2,3,4,7,8,9-HEPTACHLORODIBENZOFURAN",cancer,
55684-94-1,HEXACHLORODIBENZOFURAN,cancer,skin sense
557-19-7,CIANURO DE NIQUEL,cancer,
557-98-2,2-CHLOROPROPYLENE,,respiratory
55702-45-9,"2,3,6-Trichlorobiphenyl","cancer,developmental",
55702-46-0,"2,3,4-TRICHLOROBIPHENYL (PCB-21)","cancer,developmental",
55712-37-3,"2,3',4-Trichlorobiphenyl","cancer,developmental",
55720-44-0,"2,3,5-Trichlorobiphenyl","cancer,developmental",
55720-99-5,CHLORINATED DIPHENYL OXIDE,,"endocrine,skin sense"
55722-26-4,OCTA-PCB,"cancer,developmental",
55738-54-0,"TRANS-2-[(DIMETHYLAMINO)METHYLIMINO]-5-[2-5-NITRO-2-FURYL)VINYL]-1,3,4-OXADIAZOLE",cancer,
558-13-4,CARBON TETRABROMIDE,,"gastrointestinal liver,neurotoxicity"
55965-84-9,"3(2H)-Isothiazolone, 5-chloro-2-methyl-, mixt. with 2-methyl-3(2H)-isothiazolone",,"neurotoxicity,respiratory"
5598-13-0,CHLORPYRIFOS METHYL,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,skin sense"
56-04-2,METHYLTHIOURACIL,cancer,endocrine
56-18-8,DIPROPYLENETRIAMINE,,"immunotoxicity,skin sense"
56-23-5,CARBON TETRACHLORIDE,cancer,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
56-35-9,BIS(TRIBUTYLTIN) OXIDE,,"cardiovascular blood,developmental,endocrine,immunotoxicity,kidney,neurotoxicity,respiratory"
56-38-2,PARATHION,,"cancer,cardiovascular blood,developmental,endocrine,neurotoxicity,reproductive,respiratory,skin sense"
56-49-5,3-METHYLCHLORANTHRENE,cancer,"cardiovascular blood,endocrine,skin sense"
56-53-1,DIETHYLSTILBESTROL,"cancer,developmental","cardiovascular blood,endocrine,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,skin sense"
56-54-2,QUINIDINE,,"cardiovascular blood,immunotoxicity,skin sense"
56-55-3,BENZ(A)ANTHRACENE,cancer,
56-57-5,4 NQO,,"gastrointestinal liver,musculoskeletal,skin sense"
56-72-4,COUMAPHOS,,neurotoxicity
56-75-7,CHLORAMPHENICOL,cancer,"cardiovascular blood,developmental,gastrointestinal liver,immunotoxicity,neurotoxicity,respiratory,skin sense"
56-81-5,GLYCERIN MIST,,"cardiovascular blood,gastrointestinal liver,neurotoxicity"
56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl","cancer,developmental",
56073-10-0,BRODIFACOUM,,"cardiovascular blood,neurotoxicity,skin sense"
563-12-2,ETHION,,neurotoxicity
563-47-3,3-CHLORO-2-METHYL-1-PROPENE,cancer,gastrointestinal liver
563-80-4,METHYL ISOPROPYL KETONE,,neurotoxicity
5634-39-9,IODINATED GLYCEROL,,"cancer,endocrine,kidney"
56391-57-2,NETILMICIN SULFATE,developmental,
564-25-0,DOXYCYCLINE,developmental,"immunotoxicity,musculoskeletal"
56558-16-8,"2,2',4,6,6'-PENTACHLOROBIPHENYL (PCB-104)","cancer,developmental",
56558-17-9,"2,3',4,4',6-Pentachlorobiphenyl","cancer,developmental",
56558-18-0,"2,3',4,5',6-Pentachlorobiphenyl","cancer,developmental",
56795-65-4,1-butylhydrazine hydrochloride,,cancer
569-57-3,CHLOROTRIANISENE,cancer,
569-61-9,C.I. BASIC RED 9 MONOHYDROCHLORIDE,cancer,"endocrine,gastrointestinal liver"
569-64-2,C.I. BASIC GREEN 4,,skin sense
57-12-5,CYANIDE,,"cardiovascular blood,developmental,kidney,neurotoxicity"
57-13-6,UREA,,"cardiovascular blood,gastrointestinal liver,neurotoxicity"
57-14-7,"1,1-DIMETHYL HYDRAZINE",cancer,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
57-24-9,STRYCHNINE,,"cardiovascular blood,neurotoxicity"
57-33-0,PENTOBARBITAL SODIUM,developmental,"neurotoxicity,reproductive"
57-41-0,PHENYTOIN,"cancer,developmental","cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
57-47-6,PHYSOSTIGMINE,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory"
57-50-1,SUCROSE,,"gastrointestinal liver,neurotoxicity,respiratory"
57-53-4,MEPROBAMATE,developmental,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
57-55-6,PROPYLENE GLYCOL,,"immunotoxicity,neurotoxicity,respiratory,skin sense"
57-56-7,HYDRAZINE CARBOXAMIDE,,cardiovascular blood
57-57-8,BETA-PROPIOLACTONE,cancer,"gastrointestinal liver,respiratory,skin sense"
57-63-6,ETHINYLESTRADIOL,cancer,"cardiovascular blood,gastrointestinal liver,respiratory"
57-68-1,SULFAMETHAZINE,,"cancer,endocrine,reproductive"
57-74-9,CHLORDANE,cancer,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory"
57-83-0,PROGESTERONE,cancer,
57-92-1,STREPTOMYCIN,,"cardiovascular blood,skin sense"
57-97-6,"7,12-DIMETHYLBENZ(A)ANTHRACENE",cancer,"immunotoxicity,reproductive,skin sense"
57018-52-7,propylene glycol butyl ether,cancer,
57109-90-7,CLORAZEPATE DIPOTASSIUM,developmental,
57117-31-4,"2,3,4,7,8-PENTACHLORODIBENZOFURAN",cancer,"endocrine,gastrointestinal liver,immunotoxicity"
57117-41-6,"1,2,3,7,8-PENTACHLORODIBENZOFURAN",cancer,
57117-44-9,"1,2,3,6,7,8-HEXACHLORODIBENZOFURAN",cancer,
5714-22-7,SULFUR PENTAFLUORIDE,,respiratory
57213-69-1,TRICLOPYR TRIETHYLAMMONIUM SALT,,kidney
57465-28-8,"3,3',4,4',5-PENTACHLOROBIPHENYL","cancer,developmental",
575-74-6,Buclosamide,,"immunotoxicity,skin sense"
57573-52-1,4-Methylbenzenediazonium and its salts,,cancer
576-26-1,"2,6-DIMETHYLPHENOL",,"gastrointestinal liver,kidney,neurotoxicity,respiratory"
57653-85-7,"1,2,3,6,7,8-HEXACHLORODIBENZO-P-DIOXIN",cancer,
57693-14-8,"CHROMATE(3-), BIS(3-HYDROXY-4-((2-HYDROXY-1-NAPHTHALENEYL)AZO)-7-NITRO-1-NAPHTH- ALENESULFONATO(3-))-, TRISODIUM",cancer,
577-11-7,"1,4-BIS(2-ETHYLHEXYL) SODIUM SULFOSUCCINATE",,neurotoxicity
57835-92-4,4-NITROPYRENE,cancer,
57852-57-0,IDARUBICIN HYDROCHLORIDE,"developmental,reproductive",
